Term ID,English term,Description,Sanskrit term in IAST,Sanskrit term,,,Section
ITA-2.8.29,"Person with lazy, unintelligent temperament","The characteristics of the person with a lazy, unintelligent temperament are a preference for being sedentary, an excess craving for food, a lack of feeling for tranquillity, soft deeds, no inclination for righteous or religious activities, a lack of passions and no desire for wealth.",vānaspatyakāyaḥ,वानस्पत्यकायः,,,"Unknown"
ITA-2.8.1.1,Predominance of a particular fundamental structural component in a person,,sāraḥ,सारः,,,"Unknown"
ITA-2.8.1.2,Person with predominance or essence of primary circulating nutrient fluid,"Characterized by features such as unctuousness in ears, eyes, mouth, tongue, nose, lips, palms or soles, nails, forehead, penis with no signs of pallor and having a charming or pleasant personality.","tvak-sārah, rasa sārah","त्वक्सारः, रससारः",,,"Unknown"
ITA-2.8.1.3,Person with predominance or essence of blood,"Characterized by features such as redness, unctuousness of ears, eyes, mouth, face, tongue, nose, lips, palms, soles, nails, forehead, penis and a pleasant personality.",rakta-sāraḥ,रक्तसारः,,,"Unknown"
ITA-2.8.1.4,Person with predominance or essence of muscle,"Characterized by features such as having large, prominent, muscular and visually pleasing temples, forehead, nape of neck, eyes, cheeks, jaw, neck, shoulder, abdomen, axillae, chest, upper limb joints and lower limb joints; readiness to forgive and forbearance; patience and steadiness; lack of greediness; wealth; knowledge; happiness; simplicity; health; strength and longevity.",māmsa-sāraḥ,मांससारः,,,"Unknown"
ITA-2.8.1.5,Person with predominance or essence of fat,"Characterized by features such as glossy complexion; smooth and pleasant voice; shining eyes; shining and glossy scalp and body hair, nails, teeth and lips; unctuous urine and faeces; being endowed with wealth; prosperity; happiness; enjoyment; simplicity; softness and being gentle in activities.",medosāraḥ,मेदोसारः,,,"Unknown"
ITA-2.8.1.6,Person with predominance or essence of bone,"Characterized by features such as having large heels, ankles, knees, forearms, clavicles, chin, head, joints, bones, nails, teeth; having great enthusiasm; dynamism; ability to tolerate suffering; having firmness of body and longevity.",asthi-sāraḥ,अस्थिसारः,,,"Unknown"
ITA-2.8.1.7,Person with predominance or essence of bone marrow,"Characterized by features such as, having soft body parts; good physical strength; unctuous complexion; pleasant and soft voice; large and round joints; longevity; strength and excellence in learning, attainment of wealth, knowledge and honour.",majjasāraḥ,मज्जासारः,,,"Unknown"
ITA-2.8.1.8,Person with predominance or essence of semen,"Characterized by features such as, gentleness; milky-looking eyes; enthusiasm; smooth and pleasant voice; large buttocks; strength; happiness; prosperity; health; wealth and many progeny.",śukra-sārah,शुक्रसारः,,,"Unknown"
ITA-2.8.1.9,Person with predominance or essence of strong willpower,Characterized by features such as good memory; devotion; gratefulness; wisdom; pure in body thought words and deeds; great enthusiasm; erudition and knowledge; courage; valour in fighting; absence of sorrow; proper gait; depth of wisdom; relevance of activities; sincerity and virtuousness of acts.,sattva-sāraḥ,सत्त्वसारः,,,"Unknown"
ITA-2.8.1.10,Person with predominance or essence of all seven fundamental structural components,"Characterized by features such as strength; happiness; ability to tolerate suffering; self-confidence in all undertakings; sincerity and virtuousness in acts; firm, well-built body; correct gait; melodious, soft and pleasant voice; attainment of happiness, prosperity, wealth and longevity; having many progeny and resistant to diseases.","sarva-sāraḥ, oja-sāraḥ","सर्वसारः, ओजस्सारः",,,"Unknown"
ITA-2.9.1,Age,,vayaḥ/kālaḥ,वयः / कालः,,,"Unknown"
ITA-2.9.2,Senility,"The characteristics of this state are: diminution of structural components on a day-by-day basis; diminished perceptiveness of sense organs; diminished physical strength; diminished potency or semen; diminished energy; wrinkles; greying of hair; baldness; cough; breathlessness or difficulty breathing; inability to perform the full range of activities; diminished digestive, metabolic capacity; aggravated vata; loss of distinction of a particular structural component; loosened muscles, joints and bones; hardness or roughness of skin; body curvature; shivering or trembling; excessive nasal discharge or drooling.",vārdhakyam,वार्धक्यम्,,,"Unknown"
ITA-2.9.3,Death,,maranam,मरणम्,,,"Unknown"
ITA-2.9.1.1,Women during optimum period for conception,"The characteristics of this state are an enlarged, bulky face; pleasant face; pleasant state of mind; moist face or mouth; moist teeth; desire for male companionship; fondness for stories or chatting; relaxed or loose abdomen; relaxed eyes; relaxed mind; flickering of arms; quivering of breasts; quivering in pelvis; quivering in umbilical region; quivering in thighs; quivering in pelvic region; quivering in hips; excitement; curiosity; emaciated face.",rtumatih,ऋतुमतिः,,,"Unknown"
ITA-2.9.1.2,"Pregnant state, visible signs of pregnancy",The characteristics of this state are cessation of menstruation; excessive salivation; disinclination for food; vomiting; tastelessness; desire for sour tastes; seeking attention by speaking in a loud voice; heaviness of limbs; eye fatigue; milk droplets in breasts; darkening of lips; darkening of breast areola and nipple; severe pedal oedema; appearance of striate on abdomen; dilatation of yoni; approximation of eyelashes; aversion to pleasant smells; excessive salivation and tiredness.,garbhavastha/vyakta-garbhah,गर्भावस्था / व्यक्तगर्भः,,,"Unknown"
ITA-2.9.1.3,First phase of pregnancy,The characteristic of this state is pain.,upasthitagarbhah,उपस्थितगर्भा,,,"Unknown"
ITA-2.9.1.4,Early signs of conception,The characteristics of this state are exhaustion or fatigue; fatigue in mind and body; thirst; weakness or fatigue of the thighs; conjoining of ovum and sperm; quivering of vagina; retention of sperm and ovum in the vagina; satiety; heaviness; pulsating sensation; heart palpitations; drowsiness or lassitude; horripilation.,sadyogarbhah,सद्योगर्भः,,,"Unknown"
ITA-2.9.1.5,Foetal growth and development,The characteristics of this state are enlargement of the abdomen; perspiration in the pregnant woman.,garbhavṛddhiḥ,गर्भवृद्धिः,,,"Unknown"
ITA-2.9.1.6,First month of pregnancy,This month is characterized by a small round lump; unmanifested form; though present body parts are not conspicuous,prathamamāsa-garbhah,प्रथममासगर्भः,,,"Unknown"
ITA-2.9.1.7,Second month of pregnancy,This month is characterized by the embryo taking on a compact form; round mass (male); elongated muscle shape (female).,dvitīyamāsa-garbhah,द्वितीयमासगर्भः,,,"Unknown"
ITA-2.9.1.8,Third month of pregnancy,This month is characterized by the simultaneous manifestation of all the sense faculties; simultaneous manifestation of various bodily organs; manifestation of hands; manifestation of legs; manifestation of head; minute forms of body organs.,trtīyamāsa-garbhah,तृतीयमासगर्भः,,,"Unknown"
ITA-2.9.1.9,Fourth month of pregnancy,"This month is characterized by increasing foetal stabilization, and an increasing excessive heaviness in the body of the pregnant woman; appearance of all body organs and adjuncts; appearance of body parts.",caturthamāsa-garbhah,चतुर्थमासगर्भः,,,"Unknown"
ITA-2.9.1.10,Fifth month of pregnancy,This month is characterized by excessive increase in foetal fleshiness; an excessive increase in blood; thinning of the pregnant woman; appearance of mind and intellect; consciousness.,pañcamamāsa-garbhah,पञ्चममासगर्भः,,,"Unknown"
ITA-2.9.1.11,Sixth month of pregnancy,This month is characterized by an excessive increase in foetal strength; an increase in foetal complexion; appearance of intellect; appearance of tendons; appearance of veins; appearance of body hair; appearance of nails; appearance of skin; the pregnant woman loses her strength and complexion.,ṣaṣṭamamāsa-garbhah,षष्ठमासगर्भः,,,"Unknown"
ITA-2.9.1.12,Seventh month of pregnancy,This month is characterized by nourishment of all foetal elements; fatigue of the pregnant woman; complete foetal development; clear manifestation of all body parts and organs; full formation of body parts.,saptamamāsa-garbhah,सप्तममासगर्भः,,,"Unknown"
ITA-2.9.1.13,Eighth month of pregnancy,This month is characterized by frequent joyfulness of the pregnant woman; frequent exhaustion of the pregnant woman; intermittent foetal movements in the womb; intermittent absence of foetal movements in the womb.,aştamamāsa-garbha:,अष्टममासगर्भः,,,"Unknown"
ITA-2.9.1.14,Onset signs of approaching labour,This month is characterized in the pregnant woman by bodily exhaustion; a tired expression; relaxed eyes; a feeling as if the heart is separating; descent of the abdomen; heaviness in the lower abdomen; a pricking-type pain in the groin; a pricking-type pain in the bladder region; a pricking type-pain in the lower back; a pricking-type pain in the abdomen; a pricking-type pain in the sides of the chest and flanks; a pricking-type pain in the back; vaginal secretions; disinclination for food; appearance of labour pains; secretion of amniotic fluid; laxity of the abdomen; pain in the hips and pelvic region; loss of taste; excessive salivation; frequent excessive urination; pain in the thighs; abdominal pain; lower back pain; pain in the back; precordial and cardiac pain; pain in the bladder region; pain in the groin region; a breaking-type pain in the vagina; splitting type of pain in the labia; a pricking-type pain in the vagina; quivering of the vagina; vaginal secretions; a feeling as if eyes are separating; spitting; frequent excessive defecation.,prajāyanī/ prajananakālaḥ,प्रजायनी / प्रजननकालः,,,"Unknown"
ITA-2.9.1.15,Woman about to give birth,The characteristics of this state are pain in the entire back region; frequent defecation; urination; a frothy vaginal discharge.,upasthitaprasavah,उपस्थितप्रसवा,,,"Unknown"
ITA-2.9.1.16,Woman nearing the delivery period,The characteristics of this state are excessive salivation and pain.,āsannaprasavah,आसन्नप्रसवा,,,"Unknown"
ITA-2.9.1.17,Mother in puerperium,,sūtikā,सूतिका,,,"Unknown"
Structure (anatomical terms),,,,,,,"Unknown"
Term ID,English term,Description,Sanskrit term in IAST,Sanskrit term,,,"Unknown"
ITA-3.1.1,Knowledge pertaining to the body,The study of the body in all its aspects from origin to death.,śarīraḥ,शारीरः,,,"Unknown"
ITA-3.1.2,Body,,"śarīraḥ, dehaḥ, kāyah, tanuḥ, gātram, vapuh","शरीरः, देहः, कायः, तनुः, गात्रम्, वपुः",,,"Unknown"
ITA-3.1.3,Factors responsible for body growth,"Body growth is determined by four factors: appropriate time, innate nature, proper nutrition and absence of obstructing or impairing factors.",śarīra-vṛddhikara-bhāvaḥ,शरीरवृद्धिकरभावः,,,"Unknown"
ITA-3.1.4,Healthy body and mind,The state in which all fundamental structural components of the body or dhatu are functioning normally.,śarīra-sampat,शरीरसम्पत्,,,"Unknown"
ITA-3.1.5,Body measurements,Measurements of the whole or part of the body usually described in proportions based on the width of an individual's fingers.,pramāṇam,प्रमाणम्,,,"Unknown"
ITA-3.1.6,Body part,,angaḥ,अङ्गः,,,"Unknown"
ITA-3.1.7,Whole body,,sarvāṅgaḥ,सर्वाङ्गः,,,"Unknown"
ITA-3.1.8,The six anatomical areas of the body,"The six sections of the body comprise the four limbs, the trunk, and the head and neck region.",ṣaḍaṅgam,षडङ्गम्,,,"Unknown"
ITA-3.1.9,A body part or organ,,"avayavaḥ, śarīrāvayavaḥ","अवयवः, शरीरावयवः",,,"Unknown"
ITA-3.1.10,A subsidiary body part,,upāṅgaḥ,उपाङ्गः,,,"Unknown"
ITA-3.1.11,Orifice,,"chidram, dvāram, vivaram, susiram, kuharam","छिद्रम्, द्वारम्, विवरम्, सुशिरम्, कुहरम्",,,"Unknown"
ITA-3.1.12,Cavity,,kūṭaḥ,कूटः,,,"Unknown"
ITA-3.1.13,Covering,,chadanam,छदनम्,,,"Unknown"
ITA-3.1.14,Muscular or bony prominence,,piṇḍikā,पिण्डिका,,,"Unknown"
ITA-3.1.15,Connecting structures,,nibandhinī,निबन्धिनी,,,"Unknown"
ITA-3.1.16,Body region,,"deśaḥ, aṅga-pradeśaḥ","देशः, अङ्ग, प्रदेशः",,,"Unknown"
ITA-3.1.17,Five prominences in the developing fetus,Five prominences in the developing fetus which correspond to the four limbs and head.,gātrapañcakam,गात्रपञ्चकम्,,,"Unknown"
ITA-3.1.18,Body half,,śarīrārdham,शरीरार्धम्,,,"Unknown"
ITA-3.1.19,Lower half of the body,"The lower half of the body, below the waist.",adhaḥkāyaḥ,अधःकायः,,,"Unknown"
ITA-3.1.20,Upper half of the body,"The upper half of the body, above the waist.",ūrdhvakāyaḥ,ऊर्ध्वकायः,,,"Unknown"
ITA-3.1.21,"Body half in the sagittal plane, limb",,pakṣaḥ,पक्षः,,,"Unknown"
ITA-3.1.22,Head and neck,That part of the body above the clavicle.,ūrdhvajatru,ऊर्ध्वजत्रु,,,"Unknown"
ITA-3.1.23,Upper and lower limbs,,śākhā,शाखा,,,"Unknown"
ITA-3.2.1,Head,,ūrdhvāṅgam,ऊर्ध्वाङ्गम्,,,"Unknown"
ITA-3.2.2,Head,"The uppermost and chief part of the body; head, the site where life force and the sense organs are situated.","śiraḥ, mūrdhā, uttamāṅgam, mastakam","शिरः, मूर्धा, उत्तमाङ्ङ्गम्, मस्तकम्",,,"Unknown"
ITA-3.2.3,Skull,,kapālaḥ,कपालः,,,"Unknown"
ITA-3.2.4,Temple,One of the ten sites in the body where vital life force is predominantly located.,śaṅkhaḥ,शङ्खः,,,"Unknown"
ITA-3.2.5,Forehead,,"lalāṭam, alikam","ललाटम्, अलिकम्",,,"Unknown"
ITA-3.2.6,Temple,,śaṅkhapradeśaḥ,शङ्खप्रदेशः,,,"Unknown"
ITA-3.2.1.1,Eye,,"cakṣuḥ, akṣi, netram","चक्षुः, अक्षि, नेत्रम्",,,"Unknown"
ITA-3.2.1.2,Eyeball,,"dṛṣṭi-golakaḥ, nayana-budbudaḥ, akṣi-golakam, akṣigolakatvak","दृष्टिगोलकः, नयन-बुद्बुदः, अक्षि गोलकम्, अक्षि गोलकत्वक्",,,"Unknown"
ITA-3.2.1.3,Orbit,,"akṣikūṭaḥ, koṭaraḥ","अक्षिकू टः, कोटरः",,,"Unknown"
ITA-3.2.1.4,Eyelid,,"Vartma, netrakośaḥ, akṣikośaḥ, netra-chādanam, akṣipuṭam, netrapuṭam, akṣivartma, akṣivartmakośaḥ","वर्त्म, नेत्रकोशः, अक्षिकोशः, नेत्र-छादनम्, अक्षिपुटम्, नेत्रपुटम्, अक्षिवत्र्म, अक्षिवत्र्मकोशः",,,"Unknown"
ITA-3.2.1.5,Anatomical junctions of the eye,A common term used to denote the junctions of the eye.,netrasandhiḥ,नेत्रसन्धिः,,,"Unknown"
ITA-3.2.1.6,Canthus,"A term which denotes the junction between the eyelashes and lids, the sclerocorneal junction, pupillary margins and medial and lateral canthi.",antaḥ,अन्तः,,,"Unknown"
ITA-3.2.1.7,Outer canthus,,"apāṅgaḥ, apāṅgasandhiḥ","अपाङ्गः, अपाङ्गसन्धिः",,,"Unknown"
ITA-3.2.1.8,Part of the outer canthus,,apāṅgadeśaḥ,अपाङ्गदेशः,,,"Unknown"
ITA-3.2.1.9,Inner canthus,,"Kanīnikā, kanīnasandhiḥ, akṣikanīnikā","कनीनिका, कनीनसन्धिः, अक्षिकनीनिका",,,"Unknown"
ITA-3.2.1.10,Junction of cilia with lid margin,,pakṣmavartma-sandhiḥ,पक्ष्मवर्त्मसन्धिः,,,"Unknown"
ITA-3.2.1.11,Junction of palpebral and bulbar conjunctiva,,vartma-śukla-sandhiḥ,वर्त्मशुक्लसन्धिः,,,"Unknown"
ITA-3.2.1.12,Sclerocorneal junction,,śukla-kṛṣṇa-sandhiḥ,शुक्लकृष्णसन्धिः,,,"Unknown"
ITA-3.2.1.13,Pupillary margin,,kṛṣṇa-dṛṣṭi-sandhiḥ,कृष्णदृष्टिसन्धिः,,,"Unknown"
ITA-3.2.1.14,Palpebral junction,,vartmasandhiḥ,वर्त्मसन्धिः,,,"Unknown"
ITA-3.2.1.15,Aqueous humour,,tejojalam,तेजोजलम्,,,"Unknown"
ITA-3.2.1.16,Nasolacrimal duct,,netranāḍī,नेत्रनाडी,,,"Unknown"
ITA-3.2.1.17,Lacrimal fluid (tears),,aśruḥ,अश्रुः,,,"Unknown"
ITA-3.2.1.18,Lacrimal apparatus,,aśrumārgaḥ,अश्रुमार्गः,,,"Unknown"
ITA-3.2.1.19,Lacrimal canaliculi,,aśruvāhinī,अश्रुवाहिनी,,,"Unknown"
ITA-3.2.1.20,Lacrimal duct,,Jalavāhinīsirā,जलवाहिनीसिरा,,,"Unknown"
ITA-3.2.1.21,Nerves involved in eyelid opening,,Unmeṣiṇīsirā,उन्मेषिणीसिरा,,,"Unknown"
ITA-3.2.1.22,Eyebrows,,bhrūḥ,भ्रूः,,,"Unknown"
ITA-3.2.1.23,Eyelashes,,"pakṣma, pratibālāḥ, akṣipakṣma","पक्ष्म, प्रतिबालः, अक्षिपक्ष्म",,,"Unknown"
ITA-3.2.1.24,Free ends of eyelashes,,pakṣmāgram,पक्ष्माग्रम्,,,"Unknown"
ITA-3.2.1.25,Roots of eyelashes,,pakṣmāśayaḥ,पक्ष्माशयः,,,"Unknown"
ITA-3.2.1.26,Generic areas of eye and adnexa,,maṇḍalam,मण्डलम्,,,"Unknown"
ITA-3.2.1.27,Eyelashes,,pakṣmamaṇḍalam,पक्ष्ममण्डलम्,,,"Unknown"
ITA-3.2.1.28,Eyelid,,vartmamaṇḍalam,वर्त्ममण्डलम्,,,"Unknown"
ITA-3.2.1.29,Sclera,,"śuklamaṇḍalam, śvetamaṇḍalam","शुक्लमण्डलम्, श्वेतमण्डलम्",,,"Unknown"
ITA-3.2.1.30,Cornea and iris,The part of the eyeball which is black or coloured (in contrast to the white sclera).,kṛṣṇa-maṇḍalam,कृष्णमण्डलम्,,,"Unknown"
ITA-3.2.1.31,Pupil,,"dṛṣṭi-maṇḍalam, dṛṣṭiḥ","दृष्टिमण्डलम्, दृष्टिः",,,"Unknown"
ITA-3.2.1.32,Iris,,"kṛṣṇa-tārakā, tārakā","कृष्णतारका, तारका",,,"Unknown"
ITA-3.2.1.33,Layers of the eye,,"paṭalam, netratvak","पटलम्, नेत्रत्वक्",,,"Unknown"
ITA-3.2.1.34,Layers of the eyelids,,vartmapaṭalam,वर्त्मपटलम्,,,"Unknown"
ITA-3.2.1.35,Cornea,,tejojalāśrita-bāhya-paṭalam,तेजोजलाश्रितबाह्यपटलम्,,,"Unknown"
ITA-3.2.1.36,Iris and uveal tract,,piśitāśritaṃpaṭalam,पिशिताश्रितंपटलम्,,,"Unknown"
ITA-3.2.1.37,Cortical part of lens and vitreous humour,,medasāśritaṃpaṭalam,मेदसाश्रितंपटलम्,,,"Unknown"
ITA-3.2.1.38,Nuclear part of lens,The fourth layer of the eye.,asthyāśritaṃpaṭalam,अस्थ्याश्रितंपटलम्,,,"Unknown"
ITA-3.2.2.1,Nose,,"nāsikā, ghrāṇaḥ, nāsā","नासिका, घ्राणः, नासा",,,"Unknown"
ITA-3.2.2.2,Tip of the nose,,"nāsāgram, agranāsikā","नासाग्रम्, अग्रनासिका",,,"Unknown"
ITA-3.2.2.3,Cavity of the nose,,nāsāpuṭam,नासापुटम्,,,"Unknown"
ITA-3.2.2.4,Bridge of the nose,,"nāsāvaṃśaḥ, nāsāsthidandaḥ","नासावंशः, नासास्थिदण्डः",,,"Unknown"
ITA-3.2.2.5,Upper part of nasal cavity,,ghrāṇamūlam,घ्राणमूलम्,,,"Unknown"
ITA-3.2.2.6,External aperture of the nose,,nāsānāḍī,नासानाडी,,,"Unknown"
ITA-3.2.2.7,Nasal passage,,ghrāṇamārgaḥ,घ्राणमार्गः,,,"Unknown"
ITA-3.2.2.8,Nostril,,nāsāsrotaḥ,नासास्रोतः,,,"Unknown"
ITA-3.2.2.9,Ala of nose,,nāsāpuṭa-bahirbhāgaḥ,नासापुटबहिर्भागः,,,"Unknown"
ITA-3.2.2.10,Inner canthus,,nāsākṣi-sandhiḥ,नासाक्षिसन्धिः,,,"Unknown"
ITA-3.2.2.11,Nostril,,"nāsārandhram, nāsāvivaram","नासारन्ध्रम्, नासाविवरम्",,,"Unknown"
ITA-3.2.2.12,"Nostril, anterior nares",,nāsikāpuṭam,नासिकापुटम्,,,"Unknown"
ITA-3.2.3.1,Ear,,"karṇaḥ, śrotram, śravaṇam","कर्णः, श्रोत्रम्, श्रवणम्",,,"Unknown"
ITA-3.2.3.2,Ear cavity,,śravaṇasrotas,श्रवणस्रोतस्,,,"Unknown"
ITA-3.2.3.3,Conduits carrying sound,,"śabdānuvahā, śabdābhivahā, śabdapathaḥ, śabdavahasrotas","शब्दानुवहा, शब्दाभिवहा, शब्दपथः, शब्दवहस्रोतस्",,,"Unknown"
ITA-3.2.3.4,Parotid region,,karṇamūlam,कर्णमूलम्,,,"Unknown"
ITA-3.2.3.5,External auditory canal,,karṇanāḍī,कर्णनाडी,,,"Unknown"
ITA-3.2.3.6,"Base of the ear, pinna",,karṇapīṭham,कर्णपीठम्,,,"Unknown"
ITA-3.2.3.7,Lobe of the ear,,"karṇapālī, karṇalatikā","कर्णपाली, कर्णलतिका",,,"Unknown"
ITA-3.2.3.8,"External ear, tragus",,karṇaputrakaḥ,कर्णपुत्रकः,,,"Unknown"
ITA-3.2.3.9,Mastoid region,,karṇapṛṣṭham,कर्णपृष्ठम्,,,"Unknown"
ITA-3.2.3.10,External ear,,karṇaśaṣkulikā,कर्णशष्कुलिका,,,"Unknown"
ITA-3.2.3.11,Concha of the ear,,karṇāvaṭuḥ,कर्णावटुः,,,"Unknown"
ITA-3.2.3.12,External auditory meatus,,karṇa-srotaḥ,कर्णस्रोतः,,,"Unknown"
ITA-3.2.3.13,Cochlea,,śaṣkulī,शष्कुली,,,"Unknown"
ITA-3.2.4.1,"Mouth, face",,"mukham, vaktram, vadanam, āsyam","मुखम्, वक्त्रम्, वदनम्, आस्यम्",,,"Unknown"
ITA-3.2.4.2,Oral cavity,,"vadanāntaram, mukhakuharam","वदनान्तरम्, मुखकुहरम्",,,"Unknown"
ITA-3.2.4.3,"Face, mouth",,ānanam,आननम्,,,"Unknown"
ITA-3.2.4.4,Cheek,,"kapolaḥ, gaṇḍaḥ, gallaḥ","कपोलः, गण्डः, गल्लः",,,"Unknown"
ITA-3.2.4.5,Chin,,cibukam,चिबुकम्,,,"Unknown"
ITA-3.2.4.6,Lip,,"oṣṭhaḥ, daśanacchadau","ओष्ठः, दशनच्छदौ",,,"Unknown"
ITA-3.2.4.7,Lower lip,,"adharaḥ, adharauṣṭhaḥ","अधरः, अधरौष्ठः",,,"Unknown"
ITA-3.2.4.8,Upper lip,,uttarauṣṭhaḥ,उत्तरौष्ठः,,,"Unknown"
ITA-3.2.4.9,Corners of mouth,,"sṛkkaṇī, oṣṭhaprāntaḥ","सृक्कणी, ओष्ठप्रान्तः",,,"Unknown"
ITA-3.2.4.10,"Jaw, mandible",,hanuḥ,हनुः,,,"Unknown"
ITA-3.2.4.11,Teeth,,"dantaḥ, daśanaḥ","दन्तः, दशनः",,,"Unknown"
ITA-3.2.4.12,Bony sockets of teeth,,dantolūkhalāni,दन्तोलूखलानि,,,"Unknown"
ITA-3.2.4.13,Enamel,,"danta-tvak, dantavalkam","दन्तत्वक्, दन्तवल्कम्",,,"Unknown"
ITA-3.2.4.14,"Gum, alveolar arch",,"dantabandhanam, dvijabandhanam, dantamāṃsam, dantamūlam, dantapiṇḍikā, dantādhāraḥ, dantaveṣṭakaḥ","दन्तबन्धनम्, द्विजबन्धनम्, दन्तमांसम्, दन्तमूलम्, दन्तपिण्डिका, दन्ताधारः, दन्तवेष्टकः",,,"Unknown"
ITA-3.2.4.15,Apex of tooth,,dantāgram,दन्ताग्रम्,,,"Unknown"
ITA-3.2.4.16,Wisdom tooth,,paścimahānavyadantaḥ,पश्चिमहानव्यदन्तः,,,"Unknown"
ITA-3.2.4.17,Teeth in the upper jaw,,"uttaradantaḥ, ūrdhvadantapaṅktiḥ","उत्तरदन्तः, ऊर्ध्वदन्तपङ्क्तिः",,,"Unknown"
ITA-3.2.4.18,Tongue,,"jihvā, rasanā, gojihvikā, gojihvā","जिह्वा, रसना, गोजिह्विका, गोजिह्वा",,,"Unknown"
ITA-3.2.4.19,Tip of the tongue,,jihvāgram,जिह्वाग्रम्,,,"Unknown"
ITA-3.2.4.20,Surface of the tongue,,jihvātalam,जिह्वातलम्,,,"Unknown"
ITA-3.2.4.21,Root of the tongue,,"jihvā-mūlam, jihvāprabandhaḥ, jihvābandhanam, rasanabandhanam","जिह्वामूलम्, जिह्वाप्रबन्धः, जिह्वाबन्धनम्, रसनबन्धनम्",,,"Unknown"
ITA-3.2.4.22,Frenulum of the tongue,,jihvā-sevanī,जिह्वासेवनी,,,"Unknown"
ITA-3.2.4.23,Palate,A term which denotes the anterior fontanelle.,tālu,तालु,,,"Unknown"
ITA-3.2.4.24,Region of palate,,"tāludeśaḥ, tālupradeśaḥ","तालुदेशः, तालुप्रदेशः",,,"Unknown"
ITA-3.2.4.25,Soft palate,,tālumāṃsam,तालुमांसम्,,,"Unknown"
ITA-3.2.4.26,Palatine tonsil,,upajihvikā,उपजिह्विका,,,"Unknown"
ITA-3.2.4.27,"Epiglottis, adenoids",,adhijihvikā,अधिजिह्विका,,,"Unknown"
ITA-3.2.4.28,Nape of the neck,,"avaṭuḥ, ghātā","अवटुः, घाता",,,"Unknown"
ITA-3.2.4.29,Clavicle,,jatru,जत्रु,,,"Unknown"
ITA-3.2.4.30,Anterior portion of the neck,A term which also denotes the larynx.,kaṇṭhaḥ,कण्ठः,,,"Unknown"
ITA-3.2.4.31,Uvula,,"kākalam, kākalakam, galamanih, galaśundikā, ghaṇṭikā, tālumūlam","काकलम्, काकलकम्, गलमणिः, गलशुण्डिका, घण्टिका, तालुमूलम्",,,"Unknown"
ITA-3.2.4.32,Throat passage,,galamārgaḥ,गलमार्गः,,,"Unknown"
ITA-3.2.4.33,Isthmus of the throat,,galasandhiḥ,गलसन्धिः,,,"Unknown"
ITA-3.2.4.34,"Oropharynx, throat",,galaḥ,गलः,,,"Unknown"
ITA-3.2.4.35,External part of the neck,,galabāhyam,गलबाह्यम्,,,"Unknown"
ITA-3.2.4.36,Oropharyngeal isthmus,,antargalaḥ,अन्तर्गलः,,,"Unknown"
ITA-3.2.4.37,Trachea,,"kaṇṭhanāḍī, hṛdayanāḍikā, galanalakam, śvasanā, śvāsavahānāḍī","कण्ठनाडी, हृदयनाडिका, गलनलकम्, श्वसना, श्वासवहानाडी",,,"Unknown"
ITA-3.2.4.38,Respiratory passages,,"vāyumārgaḥ, anilāyanam","वायुमार्गः, अनिलायनम्",,,"Unknown"
ITA-3.3.1,Neck,,grīvā,ग्रीवा,,,"Unknown"
ITA-3.3.2,Suprasternal notch,,grīvāmūlam,ग्रीवामूलम्,,,"Unknown"
ITA-3.3.3,Base of the neck,,jatrumūlam,जत्रुमूलम्,,,"Unknown"
ITA-3.3.4,Carotid area of the neck,,manyā,मन्या,,,"Unknown"
ITA-3.3.5,Trunk,,antarādhiḥ,अन्तराधिः,,,"Unknown"
ITA-3.3.6,Shoulder,,"aṃsaḥ, skandhaḥ","अंसः, स्कन्धः",,,"Unknown"
ITA-3.3.7,Glenoid cavity,,aṃsapīṭham,अंसपीठम्,,,"Unknown"
ITA-3.3.8,Acromion,,aṃsakūṭaḥ,अंसकू टः,,,"Unknown"
ITA-3.3.9,Deltoid prominence of the shoulder,,aṃsapiṇḍikā,अंसपिण्डिका,,,"Unknown"
ITA-3.3.10,Deltoid prominence of the shoulder,,"aṃsapiṇḍaḥ, aṃsapiṇḍikā","अंसपिण्डः, अंसपिण्डिका",,,"Unknown"
ITA-3.3.11,Supporting structures of the shoulder joint,,aṃsabandhanam,अंसबन्धनम्,,,"Unknown"
ITA-3.3.12,Area around the apex of scapula,,"aṃsamūlam, bāhuśiraḥ, bāhuśīrṣaḥ","अंसमूलम्, बाहुशिरः, बाहुशीर्षः",,,"Unknown"
ITA-3.3.13,Shoulder region,,aṃsadeśaḥ,अंसदेशः,,,"Unknown"
ITA-3.3.14,Shoulder girdle,The area formed by the neck and both shoulders; the point at which the appendicular skeletal elements of the upper body meet the axial skeleton.,ūrdhvatrikam,ऊर्ध्वत्रिकम्,,,"Unknown"
ITA-3.3.15,Infraclavicular fossa,,ukhā,उखा,,,"Unknown"
ITA-3.3.16,The hard areas on both sides of the neck,,śleṣmabhuvaḥ,श्लेष्मभुवः,,,"Unknown"
ITA-3.3.17,"Axilla, armpit",,"kakṣaḥ, kakṣā","कक्षः, कक्षा",,,"Unknown"
ITA-3.3.18,Axillary region,,kakṣābhāgaḥ,कक्षाभागः,,,"Unknown"
ITA-3.4.1,Chest,,"uraḥ, vakṣaḥ","उरः, वक्षः",,,"Unknown"
ITA-3.4.2,Chest region,,vakṣasthalam,वक्षस्थलम्,,,"Unknown"
ITA-3.4.3,Thoracic cavity,,uraḥkoṣṭhaḥ,उरःकोष्ठः,,,"Unknown"
